Test : FormRCV2Mbps01V 1.0.0.0  Name : GoldieCharactV 0.2.10.14 
Tx,PerRx(%),PerTx(%),Channel,Attenuation,Address,Length,Data,Temperature,Vdd,RxOk,RxOk(%),RxErr,RxErr(%),TxErr,TxErr(%),Current,ActTemp,GpioTgl,DutRxTxTime,DutAckLen,
10915,0.67%,0.67%,3,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10842,99.33%,0,0.00%,73,0.67%,n.a.,n.a.,n.a.,0,0,
10901,0.85%,0.85%,4,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10808,99.15%,0,0.00%,93,0.85%,n.a.,n.a.,n.a.,0,0,
10912,0.70%,0.70%,5,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10836,99.30%,0,0.00%,76,0.70%,n.a.,n.a.,n.a.,0,0,
10912,0.59%,0.59%,6,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10848,99.41%,0,0.00%,64,0.59%,n.a.,n.a.,n.a.,0,0,
10901,0.68%,0.68%,7,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10827,99.32%,0,0.00%,74,0.68%,n.a.,n.a.,n.a.,0,0,
10911,0.38%,0.38%,8,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10870,99.62%,0,0.00%,41,0.38%,n.a.,n.a.,n.a.,0,0,
10901,0.61%,0.61%,9,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10835,99.39%,0,0.00%,66,0.61%,n.a.,n.a.,n.a.,0,0,
10902,0.94%,0.94%,10,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10799,99.06%,0,0.00%,103,0.94%,n.a.,n.a.,n.a.,0,0,
10911,0.64%,0.64%,11,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10841,99.36%,0,0.00%,70,0.64%,n.a.,n.a.,n.a.,0,0,
10901,0.51%,0.51%,12,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10845,99.49%,0,0.00%,56,0.51%,n.a.,n.a.,n.a.,0,0,
10910,0.49%,0.49%,13,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10857,99.51%,0,0.00%,53,0.49%,n.a.,n.a.,n.a.,0,0,
10912,0.51%,0.51%,14,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10856,99.49%,0,0.00%,56,0.51%,n.a.,n.a.,n.a.,0,0,
10902,0.54%,0.54%,15,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10843,99.46%,0,0.00%,59,0.54%,n.a.,n.a.,n.a.,0,0,
10911,0.58%,0.58%,16,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10848,99.42%,0,0.00%,63,0.58%,n.a.,n.a.,n.a.,0,0,
10901,0.67%,0.67%,17,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10828,99.33%,0,0.00%,73,0.67%,n.a.,n.a.,n.a.,0,0,
10904,0.48%,0.48%,18,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10852,99.52%,0,0.00%,52,0.48%,n.a.,n.a.,n.a.,0,0,
10911,0.41%,0.41%,19,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10866,99.59%,0,0.00%,45,0.41%,n.a.,n.a.,n.a.,0,0,
10901,0.46%,0.46%,20,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10851,99.54%,0,0.00%,50,0.46%,n.a.,n.a.,n.a.,0,0,
10912,0.49%,0.49%,21,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10859,99.51%,0,0.00%,53,0.49%,n.a.,n.a.,n.a.,0,0,
10913,0.47%,0.47%,22,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10862,99.53%,0,0.00%,51,0.47%,n.a.,n.a.,n.a.,0,0,
10902,0.31%,0.31%,23,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10868,99.69%,0,0.00%,34,0.31%,n.a.,n.a.,n.a.,0,0,
10911,0.43%,0.43%,24,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10864,99.57%,0,0.00%,47,0.43%,n.a.,n.a.,n.a.,0,0,
10911,0.43%,0.43%,25,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10864,99.57%,0,0.00%,47,0.43%,n.a.,n.a.,n.a.,0,0,
10901,0.81%,0.81%,26,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10813,99.19%,0,0.00%,88,0.81%,n.a.,n.a.,n.a.,0,0,
10911,0.65%,0.65%,27,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10840,99.35%,0,0.00%,71,0.65%,n.a.,n.a.,n.a.,0,0,
10910,0.49%,0.49%,28,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10857,99.51%,0,0.00%,53,0.49%,n.a.,n.a.,n.a.,0,0,
10902,0.41%,0.41%,29,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10857,99.59%,0,0.00%,45,0.41%,n.a.,n.a.,n.a.,0,0,
10910,0.46%,0.46%,30,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10860,99.54%,0,0.00%,50,0.46%,n.a.,n.a.,n.a.,0,0,
10903,0.54%,0.54%,31,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10844,99.46%,0,0.00%,59,0.54%,n.a.,n.a.,n.a.,0,0,
10903,0.44%,0.44%,32,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10855,99.56%,0,0.00%,48,0.44%,n.a.,n.a.,n.a.,0,0,
10910,0.97%,0.97%,33,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10804,99.03%,0,0.00%,106,0.97%,n.a.,n.a.,n.a.,0,0,
10902,0.50%,0.50%,34,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10848,99.50%,0,0.00%,54,0.50%,n.a.,n.a.,n.a.,0,0,
10911,0.38%,0.38%,35,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10869,99.62%,0,0.00%,42,0.38%,n.a.,n.a.,n.a.,0,0,
10902,0.42%,0.42%,36,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10856,99.58%,0,0.00%,46,0.42%,n.a.,n.a.,n.a.,0,0,
10902,0.46%,0.46%,37,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10852,99.54%,0,0.00%,50,0.46%,n.a.,n.a.,n.a.,0,0,
10911,0.31%,0.31%,38,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10877,99.69%,0,0.00%,34,0.31%,n.a.,n.a.,n.a.,0,0,
10900,0.50%,0.50%,39,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10846,99.50%,0,0.00%,54,0.50%,n.a.,n.a.,n.a.,0,0,
10901,0.31%,0.31%,40,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10867,99.69%,0,0.00%,34,0.31%,n.a.,n.a.,n.a.,0,0,
10911,0.36%,0.36%,41,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10872,99.64%,0,0.00%,39,0.36%,n.a.,n.a.,n.a.,0,0,
10900,0.71%,0.71%,42,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10823,99.29%,0,0.00%,77,0.71%,n.a.,n.a.,n.a.,0,0,
10914,0.41%,0.41%,43,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10869,99.59%,0,0.00%,45,0.41%,n.a.,n.a.,n.a.,0,0,
10911,0.42%,0.42%,44,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10865,99.58%,0,0.00%,46,0.42%,n.a.,n.a.,n.a.,0,0,
10900,0.28%,0.28%,45,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10869,99.72%,0,0.00%,31,0.28%,n.a.,n.a.,n.a.,0,0,
10912,0.41%,0.41%,46,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10867,99.59%,0,0.00%,45,0.41%,n.a.,n.a.,n.a.,0,0,
10902,0.29%,0.29%,47,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10870,99.71%,0,0.00%,32,0.29%,n.a.,n.a.,n.a.,0,0,
10902,0.39%,0.39%,48,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10860,99.61%,0,0.00%,42,0.39%,n.a.,n.a.,n.a.,0,0,
10912,0.43%,0.43%,49,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10865,99.57%,0,0.00%,47,0.43%,n.a.,n.a.,n.a.,0,0,
10902,0.54%,0.54%,50,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10843,99.46%,0,0.00%,59,0.54%,n.a.,n.a.,n.a.,0,0,
10910,0.39%,0.39%,51,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10867,99.61%,0,0.00%,43,0.39%,n.a.,n.a.,n.a.,0,0,
10912,0.28%,0.28%,52,87,A1B2C3D4E5,10,0102030405060708090A, 20.0,3,10881,99.72%,0,0.00%,31,0.28%,n.a.,n.a.,n.a.,0,0,
